City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Padang,ID,2021-09-22 20:44:49,-0.9492,100.3543,77.65,80,100,4.09
68,Lavrentiya,RU,2021-09-22 20:41:00,65.5833,-171.0,32.31,61,18,7.34
69,Hilo,US,2021-09-22 20:40:38,19.7297,-155.09,83.28,79,90,8.05
70,Hornepayne,CA,2021-09-22 20:44:50,49.2138,-84.7705,56.62,46,71,4.34
71,Grand Gaube,MU,2021-09-22 20:44:50,-20.0064,57.6608,71.38,70,30,5.01
72,Pisco,PE,2021-09-22 20:44:50,-13.7,-76.2167,69.85,60,0,12.66
73,Bambous Virieux,MU,2021-09-22 20:44:51,-20.3428,57.7575,71.22,78,40,11.5
74,Goksun,TR,2021-09-22 20:44:51,38.021,36.4973,56.35,72,3,4.21
75,Bredasdorp,ZA,2021-09-22 20:40:40,-34.5322,20.0403,61.29,82,80,0.0
76,Maracana,BR,2021-09-22 20:44:52,-0.7667,-47.45,80.65,75,70,5.99
77,Shingu,JP,2021-09-22 20:44:52,33.7333,135.9833,72.91,86,2,6.42
78,Chuy,UY,2021-09-22 20:40:56,-33.6971,-53.4616,56.23,79,95,9.26
79,Saskylakh,RU,2021-09-22 20:41:23,71.9167,114.0833,36.07,95,100,4.29
80,Yueyang,CN,2021-09-22 20:44:53,29.3333,113.0919,72.46,53,0,4.03
81,Domoni,KM,2021-09-22 20:44:53,-12.2569,44.5319,75.56,80,0,8.84
82,Kaitangata,NZ,2021-09-22 20:44:54,-46.2817,169.8464,48.99,60,3,5.86
83,Port Elizabeth,ZA,2021-09-22 20:44:54,-33.918,25.5701,61.09,88,40,14.97
84,Ternate,ID,2021-09-22 20:44:54,0.8,127.4,79.23,80,84,1.99
85,Alofi,NU,2021-09-22 20:41:09,-19.0595,-169.9187,75.09,83,75,16.11
86,Clyde River,CA,2021-09-22 20:44:55,70.4692,-68.5914,30.43,93,90,14.97
87,Vila Velha,BR,2021-09-22 20:44:55,-20.3297,-40.2925,71.55,56,75,18.41
88,Poum,NC,2021-09-22 20:44:56,-20.2333,164.0167,70.9,67,63,22.57
89,Jamestown,US,2021-09-22 20:44:56,42.097,-79.2353,74.84,86,90,8.01
90,Nouadhibou,MR,2021-09-22 20:44:56,20.931,-17.0347,71.13,83,0,23.51
91,Khatanga,RU,2021-09-22 20:40:56,71.9667,102.5,33.58,98,100,9.04
92,Port Alfred,ZA,2021-09-22 20:44:57,-33.5906,26.891,61.02,82,5,22.41
93,Thompson,CA,2021-09-22 20:44:57,55.7435,-97.8558,57.36,77,90,5.75
94,Victoria,HK,2021-09-22 20:41:21,22.2855,114.1577,85.98,82,46,12.82
95,Coahuayana,MX,2021-09-22 20:44:58,18.7333,-103.6833,89.38,62,75,4.9
96,Vardo,NO,2021-09-22 20:42:03,70.3705,31.1107,46.6,66,0,25.32
97,Pochutla,MX,2021-09-22 20:44:59,15.7432,-96.4661,89.82,59,21,7.16
98,Port Hardy,CA,2021-09-22 20:42:15,50.6996,-127.4199,59.18,72,20,13.8
99,Tura,IN,2021-09-22 20:44:59,25.5198,90.2201,72.39,94,79,2.46
100,Sao Paulo De Olivenca,BR,2021-09-22 20:45:00,-3.3783,-68.8725,84.29,66,100,3.56
101,Cabo San Lucas,MX,2021-09-22 20:41:53,22.8909,-109.9124,94.6,69,17,6.26
102,Bossangoa,CF,2021-09-22 20:45:00,6.4926,17.4552,67.48,98,94,1.86
103,Makakilo City,US,2021-09-22 20:45:00,21.3469,-158.0858,86.32,50,40,13.8
104,Udachnyy,RU,2021-09-22 20:45:01,66.4167,112.4,32.52,80,97,4.03
105,Zhangjiakou,CN,2021-09-22 20:45:01,40.81,114.8794,59.11,65,6,2.53
