City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Mayo,US,74.34,clear sky,38.8876,-76.5119,Resorts Resource Group International
193,Kavieng,PG,81.55,moderate rain,-2.5744,150.7967,Nusa Island Retreat
195,Vanimo,PG,76.84,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
201,Tonj,SS,72.16,light rain,7.2737,28.6822,Lakan Hotel
203,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
204,Malanje,AO,76.51,broken clouds,-9.5402,16.341,Malanje Hotel
206,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
207,Harper,LR,76.78,moderate rain,4.375,-7.7169,Screensaver
209,Bradley,US,84.9,clear sky,35.1501,-84.8666,Howard Johnson by Wyndham Cleveland
210,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
211,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
216,Torbay,CA,70.57,scattered clouds,47.6666,-52.7314,Gallows Cove
218,Kaohsiung,TW,82.04,scattered clouds,22.6163,120.3133,御宿商旅-中山館
219,Akyab,MM,79.3,overcast clouds,20.15,92.9,Hotel Memory
220,Labuhan,ID,77.68,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
221,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
225,Alpena,US,70.12,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
226,Yoichi,JP,66.22,overcast clouds,43.2039,140.7703,Marumatta Farm 21
231,Sao Luiz Gonzaga,BR,72.43,scattered clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
233,Alyangula,AU,71.47,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
235,Sabha,LY,81.93,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
236,Tigre,AR,73.2,few clouds,-34.426,-58.5796,Puerto Delta Apartamentos
242,Tonosho,JP,75.02,clear sky,34.4833,134.1833,Hotel Green Plaza Shodoshima
253,Umm Lajj,SA,81.23,clear sky,25.0213,37.2685,Moon light Furnished Units
254,Hollins,US,84.18,scattered clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
255,Alofi,NU,75.09,shower rain,-19.0595,-169.9187,Taloa Heights
257,General Roca,AR,77.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
258,Peniche,PT,67.48,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
259,Barcelos,PT,67.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
261,Fortuna,US,70.41,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
263,Mahina,PF,82.17,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
265,Kieta,PG,78.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
266,Koutsouras,GR,74.1,clear sky,35.0339,25.9469,The White Houses
268,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
270,Odweyne,SO,77.38,broken clouds,9.4092,45.064,Eng Hiirey House
272,Piacenza,IT,72.01,clear sky,45.0468,9.6994,Best Western Park Hotel
273,Montepulciano,IT,67.77,clear sky,43.1017,11.7868,Hotel Panoramic Montepulciano
274,Santa Maria,BR,74.5,broken clouds,-29.6842,-53.8069,Hotel Morotin
276,Maragogi,BR,76.08,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
278,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
279,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
284,Itarema,BR,81.45,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
285,Kota Kinabalu,MY,75.18,scattered clouds,5.9749,116.0724,Gaya Centre Hotel
286,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
287,Poum,NC,73.22,clear sky,-20.2333,164.0167,Gîte kajeon
288,Kampot,KH,78.85,few clouds,10.6167,104.1833,Two Moons Hotel
292,Curup,ID,67.14,overcast clouds,-3.4667,102.5333,Ayi The Costel
293,Sao Filipe,CV,79.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
296,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
298,Kondoa,TZ,65.64,few clouds,-4.9,35.7833,Kinyuma Lodge
299,Erzin,TR,74.12,scattered clouds,36.9559,36.2,Artemis Otel
300,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
303,Marostica,IT,69.08,clear sky,45.7468,11.6579,Albergo Due Mori
304,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
309,Mokobeng,BW,79.66,clear sky,-22.9965,27.6678,Omphile B. Molefhe
311,Omboue,GA,77.09,overcast clouds,-1.5746,9.2618,Hotel Olako
312,Shimoda,JP,69.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
318,Viedma,AR,71.1,overcast clouds,-40.8135,-62.9967,Hotel Cristal
320,Luau,AO,72.54,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
322,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
323,Vila Franca Do Campo,PT,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
326,Gold Coast,AU,65.25,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
327,Xuddur,SO,76.62,broken clouds,4.1213,43.8894,Banjanay Hotel
328,Kavaratti,IN,81.05,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
331,Pringsewu,ID,74.26,overcast clouds,-5.3582,104.9744,Urban Style by Front One
334,Avanigadda,IN,78.06,scattered clouds,16.0215,80.9181,AP Camping
338,Korla,CN,67.93,clear sky,41.7597,86.1469,Gulisitan Hotel
339,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
340,Shreveport,US,84.42,clear sky,32.5251,-93.7502,Eldorado Resort Casino Shreveport
