City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Fairbanks,US,64.8378,-147.7164,26.22,82,90,3.44,overcast clouds
81,Vodnyy,RU,63.5046,53.4095,40.87,90,100,5.97,overcast clouds
82,Bethel,US,41.3712,-73.414,68.02,57,40,11.5,scattered clouds
83,Ilulissat,GL,69.2167,-51.1,28.42,50,75,8.05,broken clouds
84,Hasaki,JP,35.7333,140.8333,63.28,79,100,8.68,overcast clouds
85,Sao Luis,BR,-2.5297,-44.3028,84.4,74,75,14.97,light rain
86,Albany,US,42.6001,-73.9662,63.81,57,91,6.93,overcast clouds
87,Rio Gallegos,AR,-51.6226,-69.2181,64.45,19,75,17.27,broken clouds
88,Calhoun,US,42.2506,-85.0005,77.99,32,1,0.0,clear sky
89,Tuatapere,NZ,-46.1333,167.6833,43.83,82,96,9.22,overcast clouds
90,Pisco,PE,-13.7,-76.2167,65.01,77,90,10.36,overcast clouds
91,Hamilton,US,39.1834,-84.5333,84.24,53,1,1.99,clear sky
92,Luderitz,NA,-26.6481,15.1594,57.72,81,96,20.69,overcast clouds
93,Port Lincoln,AU,-34.7333,135.8667,55.0,89,20,10.58,few clouds
94,Banda Aceh,ID,5.5577,95.3222,77.95,84,99,6.8,light rain
95,Iqaluit,CA,63.7506,-68.5145,35.33,80,90,10.0,overcast clouds
96,Georgetown,MY,5.4112,100.3354,77.9,93,20,1.01,few clouds
97,Bathsheba,BB,13.2167,-59.5167,84.27,66,75,4.34,broken clouds
98,Gorom-Gorom,BF,14.4439,-0.2361,95.23,25,8,7.49,clear sky
99,Kodinsk,RU,58.6881,99.1844,24.55,98,58,1.59,broken clouds
100,Karratha,AU,-20.7377,116.8463,72.61,36,7,8.61,clear sky
101,Port Elizabeth,ZA,-33.918,25.5701,57.49,72,90,14.97,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,31.75,66,16,7.49,few clouds
103,Cayenne,GF,4.9333,-52.3333,87.84,74,75,1.01,broken clouds
104,Dallas,US,32.7668,-96.7836,93.07,43,75,4.0,thunderstorm
105,Kahului,US,20.8947,-156.47,85.26,73,20,14.97,few clouds
106,Nikolskoye,RU,59.7035,30.7861,45.81,86,51,3.6,broken clouds
107,Wanning,CN,18.8003,110.3967,76.42,87,15,3.62,few clouds
108,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,17.27,clear sky
109,Gasa,PS,31.5,34.4667,75.9,69,0,2.35,clear sky
110,Laguna,US,38.421,-121.4238,81.64,31,1,1.99,clear sky
111,Tromso,NO,69.6496,18.957,44.62,87,0,4.61,clear sky
112,Castro,BR,-24.7911,-50.0119,80.49,50,21,3.09,few clouds
113,Chapais,CA,49.7834,-74.8492,51.58,78,100,5.84,overcast clouds
114,Terrace,CA,54.5163,-128.6035,49.42,93,75,5.75,light rain
115,Port-Cartier,CA,50.0334,-66.8654,55.62,77,90,7.74,overcast clouds
116,La Paz,BO,-16.5,-68.15,66.18,22,20,13.8,few clouds
117,Saint-Leu,RE,-21.15,55.2833,70.63,74,8,4.09,clear sky
118,Katsuura,JP,35.1333,140.3,71.19,75,100,6.49,overcast clouds
119,Kungurtug,RU,50.5994,97.5228,27.48,59,94,1.25,overcast clouds
120,Vao,NC,-22.6667,167.4833,69.31,77,99,22.01,overcast clouds
121,Banjar,ID,-8.19,114.9675,78.66,88,22,4.68,few clouds
122,Vostok,RU,46.4856,135.8833,52.81,90,93,2.44,overcast clouds
123,Egvekinot,RU,66.3167,-179.1667,15.82,84,100,13.13,overcast clouds
124,Chongwe,ZM,-15.3292,28.682,76.5,27,71,4.47,broken clouds
125,Radchenko,RU,56.6803,36.3718,42.04,87,59,2.46,broken clouds
126,Poykovskiy,RU,61.2333,73.3333,35.89,80,0,6.71,clear sky
127,Ranong,TH,9.9658,98.6348,77.49,91,77,2.53,broken clouds
128,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,15.01,clear sky
129,Esperance,AU,-33.8667,121.9,53.44,85,52,10.45,broken clouds
130,Alihe,CN,50.5667,123.7167,31.08,90,23,3.31,few clouds
131,Sillamae,EE,59.3997,27.7547,51.12,60,100,8.05,overcast clouds
132,San Rafael,AR,-34.6177,-68.3301,80.11,18,2,15.82,clear sky
133,Terney,RU,45.0503,136.6092,61.0,95,100,7.65,overcast clouds
134,Dunedin,NZ,-45.8742,170.5036,42.8,70,75,3.0,broken clouds
135,Severo-Kurilsk,RU,50.6789,156.125,50.56,91,63,5.03,broken clouds
136,Anadyr,RU,64.75,177.4833,12.7,92,100,13.0,fog
